1	8,1,4,1,5,7,4,1,6,7
2	4,6,7,1,5,5,2,4,3,1
3	3,6,6,6,5,6,9,8,1,6
4	4,9,9,2,1,3,1,1,9,6
5	2,6,7,2,1,2,1,4,4,8
6	3,3,5,3,2,2,2,1,1,6
7	2,8,8,8,4,5,5,3,1,2
8	7,8,4,9,3,5,4,4,5,3
9	8,9,5,7,1,4,8,5,3,2
10	7,9,8,3,1,3,4,4,6,5
11	4,1,8,7,4,3,1,3,5,1
12	4,4,7,9,4,8,9,1,8,7
13	3,1,4,4,5,4,3,3,1,2
14	1,4,6,8,4,2,6,6,7,7
15	7,3,9,7,7,8,8,9,5,3
16	5,7,3,9,4,8,3,3,8,1
17	5,9,1,9,9,9,7,5,2,9
18	4,9,5,7,8,8,5,1,8,4
19	3,5,8,3,8,8,7,1,1,3
20	8,4,2,6,5,9,8,2,4,1
21	6,6,5,6,4,1,7,5,6,1
22	5,3,1,9,5,7,3,4,4,5
23	1,9,4,1,1,1,7,4,4,1
24	5,1,1,6,5,7,5,1,2,8
25	8,4,3,8,1,7,4,2,5,3
26	4,3,1,8,9,2,5,6,1,7
27	3,9,5,2,9,2,2,2,1,1
28	1,1,3,7,7,8,2,1,7,7
29	7,1,1,7,8,9,6,7,7,5
30	2,5,8,7,8,9,8,8,4,6
31	2,5,5,2,1,2,7,3,2,6
32	1,3,7,1,7,7,5,8,3,8
33	1,8,5,4,1,8,9,4,9,2
34	6,2,9,1,2,3,4,5,5,6
35	5,2,3,8,9,6,4,8,7,4
36	8,8,1,5,1,2,9,9,6,5
37	3,8,7,9,7,2,1,7,6,6
38	4,5,3,1,5,6,3,7,7,3
39	7,9,6,3,2,2,3,2,4,1
40	1,1,4,8,1,3,2,5,2,8
41	6,9,3,8,9,8,5,1,6,8
42	7,8,5,3,3,1,6,1,1,1
43	9,2,9,1,1,4,6,7,4,6
44	8,3,3,3,4,1,8,7,5,3
45	9,1,7,7,4,3,1,3,7,7
46	8,9,4,6,6,2,2,9,1,1
47	9,1,5,4,5,5,1,2,9,1
48	8,5,4,4,1,1,2,4,1,8
49	8,2,8,1,4,3,3,2,2,7
50	9,6,7,2,3,2,1,6,5,1
51	6,6,9,7,8,8,6,4,1,3
52	6,2,5,9,3,7,8,1,1,7
53	1,1,1,7,2,6,1,7,8,3
54	7,5,1,8,3,1,2,7,4,6
55	1,4,7,1,5,8,8,4,5,4
56	3,4,6,2,1,4,6,1,6,8
57	1,9,7,7,8,1,8,1,7,5
58	1,7,1,4,5,7,1,5,5,6
59	4,1,7,6,3,3,7,4,1,8
60	7,1,3,1,1,2,8,1,7,2
61	8,3,1,3,7,2,3,1,8,3
62	7,9,8,8,5,2,8,7,6,1
63	6,1,5,1,3,8,2,9,5,1
64	9,2,3,2,1,5,1,4,8,1
65	1,8,7,9,8,1,5,1,6,2
66	5,8,6,7,4,1,1,1,5,2
67	2,2,9,1,4,5,9,9,6,1
68	3,9,6,1,6,3,1,1,5,8
69	3,9,6,6,6,1,3,5,2,3
70	1,4,8,5,8,5,4,1,9,1
71	2,2,1,4,5,9,8,8,7,4
72	2,1,3,1,2,3,4,6,6,9
73	2,7,1,1,8,7,4,4,3,9
74	7,1,8,6,4,1,4,2,1,5
75	8,7,4,9,6,4,7,1,5,2
76	2,5,3,1,9,2,4,3,1,1
77	3,6,5,4,9,4,7,5,9,6
78	5,2,1,2,6,4,1,8,2,7
79	5,1,2,1,9,1,5,3,3,9
80	1,4,3,1,3,3,1,3,9,8
81	2,9,9,5,6,2,4,1,3,3
82	1,7,1,2,6,1,2,4,1,7
83	7,3,7,1,1,7,9,1,1,8
84	6,1,4,7,8,3,2,4,8,7
85	5,8,5,2,1,4,4,9,4,1
86	6,7,9,6,1,7,9,1,9,5
87	2,5,5,4,4,9,1,1,9,1
88	2,5,2,9,3,2,7,1,8,6
89	4,3,7,5,6,6,7,6,3,5
90	2,2,1,6,1,7,9,1,9,7
91	1,6,6,5,3,1,5,8,9,6
92	9,7,1,8,7,4,7,2,8,3
93	7,3,9,9,6,7,1,2,9,5
94	4,5,2,3,3,5,4,8,3,5
95	2,5,1,5,8,4,6,5,4,5
96	3,3,9,2,7,6,8,6,1,3
97	1,8,5,7,6,3,5,6,8,2
98	2,7,2,6,1,8,9,7,1,3
99	1,5,5,6,7,9,1,1,5,4
100	1,1,3,3,8,8,5,6,9,6
101	8,6,9,8,3,1,8,4,8,2
102	1,1,2,7,1,2,6,5,2,8
103	6,9,7,8,7,3,7,5,5,3
104	1,8,9,1,9,2,2,5,1,1
105	3,4,5,4,3,2,1,8,8,8
106	3,1,9,5,7,3,4,2,9,8
107	5,1,7,2,4,1,5,6,1,2
108	3,7,6,1,9,1,5,6,5,8
109	1,6,3,2,6,5,9,2,6,1
110	1,7,5,1,9,7,7,7,1,4
111	4,1,4,5,5,5,3,4,4,5
112	1,5,5,1,4,1,7,1,1,2
113	1,3,3,3,2,1,2,8,9,5
114	5,4,5,1,4,9,2,7,1,5
115	7,3,2,1,3,1,3,4,5,1
116	1,3,2,2,1,5,5,1,6,2
117	4,1,8,1,8,1,8,6,7,8
118	1,9,1,1,1,3,1,6,3,7
119	5,1,3,5,3,1,6,7,1,9
120	6,3,2,7,6,4,2,3,3,5
121	2,6,6,1,1,9,2,4,8,8
122	9,2,6,1,1,1,7,4,8,5
123	5,5,1,7,9,5,1,3,1,3
124	4,1,2,5,9,1,6,3,8,9
125	9,4,9,4,2,9,3,1,2,1
126	4,8,9,6,5,2,7,9,8,5
127	8,1,3,5,9,6,4,8,9,9
128	8,6,2,1,4,1,2,2,4,6
129	3,1,8,6,1,4,6,1,7,9
130	8,8,4,7,3,1,4,1,6,1
131	6,9,1,6,9,5,8,4,1,2
132	7,5,6,5,1,4,3,8,7,6
133	4,1,5,8,1,7,8,3,2,4
134	9,8,7,5,7,8,8,9,8,4
135	2,6,1,1,5,6,3,9,1,2
136	5,1,8,6,8,2,7,8,5,9
137	6,6,6,6,1,5,4,8,4,8
138	5,7,4,8,2,8,8,2,2,7
